phase_detector: pfd
fo(VCO_freq_in_Hz): 1.200000e+10
VCO_clock_dutycycle: 0.4000
tauff(sec): 1.0000e-11
tauh(sec): 1.0000e-11
taucp_min(sec): 1.0000e-12
pfd_deadzone(UI): 0.0000
fin(input_freq_in_Hz): 1.000000e+08
feedback_divider: 120
feedback_divider_delay(sec): 0.0000e+00
feedback_divider_clock_duty_cycle: 0.1000
jitter_amp(UIpp): 0.00 UI
Jitter_freqs(Hz): 0.0000e+00
phase0(degrees): 0.00
TSTART(sec): 0.000000e+00
TSTART_jt(sec): 2.000000e-06
TSTOP(sec): 2.000000e-06
deltat(sec): 1.000000e-13
lock_detect_tau(sec): 1.000000e-07
lock_detect_delta_vc_limit(%): 1.000000e-01
lock_detect_rphase_pp_limit(UIpp): 1.500000e-01
lock_detect_rphase_pp_loss_lock_limit(UIpp): 3.000000e-01
number_of_print_points: 5001
phase_freq_step_time(sec): 1.000000e+00
phase_step(sec): 0.0000e+00
freq_step(ppm): 0.0000e+00
ssc_start_time(sec): 1.000000e+00
max_pos_ssc(ppm): 0.00
max_neg_ssc(ppm): 0.00
freq_ssc(Hz): 0.0000e+00
phase_detector_logic_hi(V): 600.000
phase_detector_logic_low(V): -600.000
signal_source_vs1(V): 0.000
signal_source_vs2(V): 0.000
vc_model: poly
vc_polynomial_coeff.(Hz/V): -3.698400e-02,8.702100e-02
vco_bandwidth(Hz): 4.0000e+07
power_supply_max(V): 0.8500
power_supply_min(V): 0.0000
random_noise_sigma(UI_on_fin): 0.0000
RS1(ohms): 1.0000e+12
RS2(ohms): 1.0000e+12
R1(ohms): 1.0000e+06
RZERO(ohms): 1.2000e+04
R3(ohms): 1.0000e+00
C1(farads): 2.4070e-11
C2(farads): 3.6000e-13
initvc(V): 0.2000
Output_base_filename "sample_octave_output_file_v1p76"
Time(s),vpd(V),vs1(V),vs2(V),vc1(V),vc(V),phasein(UI),phaseo(UI),phaseo_delayed(UI),rphase(UI),vc2(V),VIN,CLK,VCO_CLK,CLKIN,freq (ppm from fin),VOUT
4.403999999776e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.782474854214e-01,4.948659520891e-01,0.000000000000e+00,-6.896868322933e-03,-6.896868322933e-03,-6.896868322933e-03,4.948756702952e-01,0,1,0,1,-6.849384631790e+02,0
4.407999999775e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.784016286669e-01,4.845606340294e-01,0.000000000000e+00,-6.911710843404e-03,-6.911710843404e-03,-6.911710843397e-03,4.845694806137e-01,0,1,0,1,-8.215462041296e+01,0
4.411999999775e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.785419468688e-01,4.751795955792e-01,0.000000000000e+00,-6.905304130726e-03,-6.905304130726e-03,-6.905304130726e-03,4.751876487171e-01,0,0,0,1,3.811717398463e+02,0
4.415999999775e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.786696799895e-01,4.666399384920e-01,0.000000000000e+00,-6.882803738158e-03,-6.882803738158e-03,-6.882803738151e-03,4.666472693474e-01,0,0,1,1,7.257158344391e+02,0
4.419999999774e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.787859567795e-01,4.588661996298e-01,0.000000000000e+00,-6.848592009128e-03,-6.848592009128e-03,-6.848592009121e-03,4.588728729839e-01,0,0,1,1,9.695173812982e+02,0
4.423999999774e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.788918047523e-01,4.517896841116e-01,0.000000000000e+00,-6.806377148081e-03,-6.806377148081e-03,-6.806377148081e-03,4.517957589354e-01,0,0,0,1,1.128291687431e+03,0
4.427999999774e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.789881592641e-01,4.453478582709e-01,0.000000000000e+00,-6.759280574919e-03,-6.759280574919e-03,-6.759280574919e-03,4.453533882463e-01,0,0,0,1,1.215705689958e+03,0
4.431999999773e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.790758717794e-01,4.394837970595e-01,0.000000000000e+00,-6.709913857598e-03,-6.709913857598e-03,-6.709913857591e-03,4.394888310537e-01,0,0,0,1,1.243622776978e+03,0
4.435999999773e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.791557173952e-01,4.341456810126e-01,0.000000000000e+00,-6.660446434729e-03,-6.660446434729e-03,-6.660446434722e-03,4.341502635100e-01,0,0,0,1,1.222319806442e+03,0
4.439999999773e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.792284016903e-01,4.292863383311e-01,0.000000000000e+00,-6.612665149085e-03,-6.612665149085e-03,-6.612665149085e-03,4.292905098263e-01,0,0,1,1,1.160679375538e+03,0
4.443999999772e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.792945669607e-01,4.248628280349e-01,0.000000000000e+00,-6.568026547590e-03,-6.568026547590e-03,-6.568026547583e-03,4.248666253904e-01,0,0,1,1,1.066360065837e+03,0
4.447999999772e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.793547978948e-01,4.208360605018e-01,0.000000000000e+00,-6.527702768601e-03,-6.527702768601e-03,-6.527702768601e-03,4.208395172742e-01,0,0,0,1,9.459470966986e+02,0
4.451999999772e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.794096267408e-01,4.171704520416e-01,0.000000000000e+00,-6.492621756600e-03,-6.492621756600e-03,-6.492621756593e-03,4.171735987775e-01,0,0,0,0,8.050855575188e+02,0
4.455999999772e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.794595380096e-01,4.138336104501e-01,0.000000000000e+00,-6.463502463966e-03,-6.463502463966e-03,-6.463502463966e-03,4.138364749566e-01,0,0,0,0,6.485981552021e+02,0
4.459999999771e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.795049727567e-01,4.107960487660e-01,0.000000000000e+00,-6.440885625047e-03,-6.440885625047e-03,-6.440885625040e-03,4.107986563561e-01,0,0,1,0,4.805892038006e+02,0
4.463999999771e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.795463324794e-01,4.080309247012e-01,0.000000000000e+00,-6.425160617034e-03,-6.425160617034e-03,-6.425160617034e-03,4.080332984177e-01,0,0,1,0,3.045363960310e+02,0
4.467999999771e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.795839826650e-01,4.055138034412e-01,0.000000000000e+00,-6.416588874472e-03,-6.416588874472e-03,-6.416588874472e-03,4.055159642600e-01,0,0,0,0,1.233717290490e+02,0
4.471999999770e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.796182560202e-01,4.032224417194e-01,0.000000000000e+00,-6.415324260942e-03,-6.415324260942e-03,-6.415324260935e-03,4.032244087353e-01,0,0,0,0,-6.044719268804e+01,0
4.475999999770e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.796494554115e-01,4.011365912584e-01,0.000000000000e+00,-6.421430761016e-03,-6.421430761016e-03,-6.421430761009e-03,4.011383818535e-01,0,0,0,0,-2.448743882214e+02,0
4.479999999770e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.796778565414e-01,3.992378198405e-01,0.000000000000e+00,-6.434897819489e-03,-6.434897819489e-03,-6.434897819489e-03,3.992394498378e-01,0,0,1,0,-4.282202946425e+02,0
4.483999999769e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.797037103849e-01,3.975093484253e-01,0.000000000000e+00,-6.455653606544e-03,-6.455653606544e-03,-6.455653606537e-03,3.975108322290e-01,0,0,1,0,-6.091032620304e+02,0
4.487999999769e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.797272454069e-01,3.959359028780e-01,0.000000000000e+00,-6.483576465250e-03,-6.483576465250e-03,-6.483576465243e-03,3.959372535999e-01,0,0,0,0,-7.864069805354e+02,0
4.491999999769e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.797486695816e-01,3.945035789940e-01,0.000000000000e+00,-6.518504760116e-03,-6.518504760116e-03,-6.518504760116e-03,3.945048085702e-01,0,0,0,0,-9.592431562773e+02,0
4.495999999768e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.797681722300e-01,3.931997196311e-01,0.000000000000e+00,-6.560245333539e-03,-6.560245333539e-03,-6.560245333532e-03,3.932008389272e-01,0,0,0,0,-1.126918828480e+03,0
4.499999999768e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.797859256929e-01,3.920128028610e-01,0.000000000000e+00,-6.608580731793e-03,-6.608580731793e-03,-6.608580731793e-03,3.920138217678e-01,0,0,1,0,-1.288907787841e+03,0
4.503999999768e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.799326126142e-01,4.922813551714e-01,0.000000000000e+00,-6.648770403721e-03,-6.648770403721e-03,-6.648770403721e-03,4.922907175671e-01,0,1,1,1,-6.569084055629e+02,0
4.507999999767e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.800811122496e-01,4.823533432461e-01,0.000000000000e+00,-6.662961646995e-03,-6.662961646995e-03,-6.662961646988e-03,4.823618659326e-01,0,1,0,1,-7.669828454115e+01,0
4.511999999767e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.802162930143e-01,4.733157705031e-01,0.000000000000e+00,-6.656700833595e-03,-6.656700833595e-03,-6.656700833588e-03,4.733235287934e-01,0,0,0,1,3.692084948507e+02,0
4.515999999767e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.803393494724e-01,4.650887738293e-01,0.000000000000e+00,-6.634952924429e-03,-6.634952924429e-03,-6.634952924429e-03,4.650958362819e-01,0,0,0,1,7.007255610371e+02,0
4.519999999767e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.804513690477e-01,4.575996530005e-01,0.000000000000e+00,-6.601938154063e-03,-6.601938154063e-03,-6.601938154063e-03,4.576060820247e-01,0,0,1,1,9.352279774963e+02,0
4.523999999766e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.805533416336e-01,4.507822282448e-01,0.000000000000e+00,-6.561227459898e-03,-6.561227459898e-03,-6.561227459891e-03,4.507880806525e-01,0,0,1,1,1.087851898769e+03,0
4.527999999766e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.806461683402e-01,4.445762554259e-01,0.000000000000e+00,-6.515826619072e-03,-6.515826619072e-03,-6.515826619065e-03,4.445815829337e-01,0,0,0,1,1.171760466719e+03,0
4.531999999766e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.807306694577e-01,4.389268936787e-01,0.000000000000e+00,-6.468250355617e-03,-6.468250355617e-03,-6.468250355617e-03,4.389317433646e-01,0,0,0,1,1.198379633332e+03,0
4.535999999765e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.808075917046e-01,4.337842207920e-01,0.000000000000e+00,-6.420587568989e-03,-6.420587568989e-03,-6.420587568982e-03,4.337886355116e-01,0,0,0,1,1.177607202726e+03,0
4.539999999765e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.808776148266e-01,4.291027920565e-01,0.000000000000e+00,-6.374558677685e-03,-6.374558677685e-03,-6.374558677678e-03,4.291068108218e-01,0,0,1,1,1.117998032804e+03,0
4.543999999765e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.809413576033e-01,4.248412386798e-01,0.000000000000e+00,-6.331565992291e-03,-6.331565992291e-03,-6.331565992291e-03,4.248448970037e-01,0,0,1,1,1.026928021741e+03,0
4.547999999764e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.809993833161e-01,4.209619022188e-01,0.000000000000e+00,-6.292737914862e-03,-6.292737914862e-03,-6.292737914855e-03,4.209652324292e-01,0,0,0,1,9.107392224670e+02,0
4.551999999764e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.810522047262e-01,4.174305018002e-01,0.000000000000e+00,-6.258967672522e-03,-6.258967672522e-03,-6.258967672522e-03,4.174335333254e-01,0,0,0,0,7.748681760516e+02,0
4.555999999764e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.811002886052e-01,4.142158311879e-01,0.000000000000e+00,-6.230947223933e-03,-6.230947223933e-03,-6.230947223933e-03,4.142185908169e-01,0,0,0,0,6.239593292362e+02,0
4.559999999763e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.811440598603e-01,4.112894830197e-01,0.000000000000e+00,-6.209196897409e-03,-6.209196897409e-03,-6.209196897402e-03,4.112919951387e-01,0,0,1,0,4.619651996571e+02,0
4.563999999763e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.811839052889e-01,4.086255977777e-01,0.000000000000e+00,-6.194091266686e-03,-6.194091266686e-03,-6.194091266678e-03,4.086278845858e-01,0,0,1,0,2.922347719179e+02,0
4.567999999763e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.812201769967e-01,4.062006352732e-01,0.000000000000e+00,-6.185881697185e-03,-6.185881697185e-03,-6.185881697185e-03,4.062027169785e-01,0,0,0,0,1.175914464853e+02,0
4.571999999762e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.812531955092e-01,4.039931666273e-01,0.000000000000e+00,-6.184715968594e-03,-6.184715968594e-03,-6.184715968587e-03,4.039950616253e-01,0,0,0,0,-5.959828066528e+01,0
4.575999999762e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.812832526042e-01,4.019836849078e-01,0.000000000000e+00,-6.190655317276e-03,-6.190655317276e-03,-6.190655317269e-03,4.019854099442e-01,0,0,0,0,-2.373643584239e+02,0
4.579999999762e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.813106138898e-01,4.001544327511e-01,0.000000000000e+00,-6.203689207332e-03,-6.203689207332e-03,-6.203689207325e-03,4.001560030698e-01,0,0,1,0,-4.140800066465e+02,0
4.583999999762e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.813355211522e-01,3.984892454443e-01,0.000000000000e+00,-6.223748106521e-03,-6.223748106521e-03,-6.223748106521e-03,3.984906749218e-01,0,0,1,0,-5.884149963333e+02,0
4.587999999761e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.813581944916e-01,3.969734080803e-01,0.000000000000e+00,-6.250714511509e-03,-6.250714511509e-03,-6.250714511502e-03,3.969747093486e-01,0,0,0,0,-7.592946438720e+02,0
4.591999999761e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.813788342676e-01,3.955935255261e-01,0.000000000000e+00,-6.284432434398e-03,-6.284432434398e-03,-6.284432434398e-03,3.955947100842e-01,0,0,0,0,-9.258638611103e+02,0
4.595999999761e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.813976228696e-01,3.943374040525e-01,0.000000000000e+00,-6.324715542647e-03,-6.324715542647e-03,-6.324715542647e-03,3.943384823680e-01,0,0,0,0,-1.087455676007e+03,0
4.599999999760e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.814147263287e-01,3.931939435804e-01,0.000000000000e+00,-6.371354121491e-03,-6.371354121491e-03,-6.371354121484e-03,3.931949251823e-01,0,0,1,0,-1.243563703701e+03,0
4.603999999760e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.815564886975e-01,4.897951834840e-01,0.000000000000e+00,-6.410053965830e-03,-6.410053965830e-03,-6.410053965823e-03,4.898042033757e-01,0,1,1,1,-6.321616759143e+02,0
4.607999999760e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.816995557787e-01,4.802303674461e-01,0.000000000000e+00,-6.423703043190e-03,-6.423703043190e-03,-6.423703043190e-03,4.802385783476e-01,0,1,0,1,-7.345259367592e+01,0
4.611999999759e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.818297912328e-01,4.715234157051e-01,0.000000000000e+00,-6.417658735813e-03,-6.417658735813e-03,-6.417658735806e-03,4.715308901743e-01,0,0,0,1,3.558926835957e+02,0
4.615999999759e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.819483459230e-01,4.635973867758e-01,0.000000000000e+00,-6.396703369440e-03,-6.396703369440e-03,-6.396703369433e-03,4.636041908630e-01,0,0,0,1,6.750567673801e+02,0
4.619999999759e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.820562674921e-01,4.563822400220e-01,0.000000000000e+00,-6.364901882790e-03,-6.364901882790e-03,-6.364901882790e-03,4.563884338535e-01,0,0,1,1,9.007768131983e+02,0
4.623999999758e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.821545096202e-01,4.498142167225e-01,0.000000000000e+00,-6.325693759791e-03,-6.325693759791e-03,-6.325693759784e-03,4.498198550319e-01,0,0,1,1,1.047633191290e+03,0
4.627999999758e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.822439404523e-01,4.438352766489e-01,0.000000000000e+00,-6.281974075911e-03,-6.281974075911e-03,-6.281974075911e-03,4.438404092607e-01,0,0,0,1,1.128305634779e+03,0
4.631999999758e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.823253502698e-01,4.383925851762e-01,0.000000000000e+00,-6.236164889238e-03,-6.236164889238e-03,-6.236164889231e-03,4.383972574463e-01,0,0,0,1,1.153800416540e+03,0
4.635999999757e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.823994584740e-01,4.334380463947e-01,0.000000000000e+00,-6.190278075294e-03,-6.190278075294e-03,-6.190278075287e-03,4.334422996108e-01,0,0,0,1,1.133651726806e+03,0
4.639999999757e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.824669199436e-01,4.289278780962e-01,0.000000000000e+00,-6.145970564916e-03,-6.145970564916e-03,-6.145970564909e-03,4.289317498432e-01,0,0,1,1,1.076100084190e+03,0
4.643999999757e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.825283308214e-01,4.248222248804e-01,0.000000000000e+00,-6.104592874564e-03,-6.104592874564e-03,-6.104592874564e-03,4.248257493721e-01,0,0,1,1,9.882503091332e+02,0
4.647999999757e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.825842337824e-01,4.210848059610e-01,0.000000000000e+00,-6.067231676504e-03,-6.067231676504e-03,-6.067231676504e-03,4.210880143425e-01,0,0,0,1,8.762113170743e+02,0
4.651999999756e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.826351228294e-01,4.176825945598e-01,0.000000000000e+00,-6.034747117461e-03,-6.034747117461e-03,-6.034747117454e-03,4.176855151829e-01,0,0,0,0,7.452197456225e+02,0
4.655999999756e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.826814476581e-01,4.145855260566e-01,0.000000000000e+00,-6.007805473040e-03,-6.007805473040e-03,-6.007805473033e-03,4.145881847303e-01,0,0,0,0,5.997492126417e+02,0
4.659999999756e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.827236176313e-01,4.117662323141e-01,0.000000000000e+00,-5.986907706344e-03,-5.986907706344e-03,-5.986907706344e-03,4.117686525325e-01,0,0,1,0,4.436068078139e+02,0
4.663999999755e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.827620053964e-01,4.091997998318e-01,0.000000000000e+00,-5.972414387600e-03,-5.972414387600e-03,-5.972414387593e-03,4.092020029818e-01,0,0,1,0,2.800182464934e+02,0
4.667999999755e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.827969501778e-01,4.068635495904e-01,0.000000000000e+00,-5.964567415191e-03,-5.964567415191e-03,-5.964567415184e-03,4.068655551408e-01,0,0,0,0,1.117029593845e+02,0
4.671999999755e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.828287607755e-01,4.047368366421e-01,0.000000000000e+00,-5.963508918398e-03,-5.963508918398e-03,-5.963508918398e-03,4.047386623155e-01,0,0,0,0,-5.905974721333e+01,0
4.675999999754e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.828577182929e-01,4.028008676759e-01,0.000000000000e+00,-5.969297671236e-03,-5.969297671236e-03,-5.969297671228e-03,4.028025296055e-01,0,0,0,0,-2.303724498013e+02,0
4.679999999754e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.828840786217e-01,4.010385349449e-01,0.000000000000e+00,-5.981923323233e-03,-5.981923323233e-03,-5.981923323233e-03,4.010400478168e-01,0,0,1,0,-4.006683846799e+02,0
4.683999999754e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.829080747026e-01,3.994342650888e-01,0.000000000000e+00,-6.001318703674e-03,-6.001318703674e-03,-6.001318703674e-03,3.994356422718e-01,0,0,1,0,-5.686664423721e+02,0
4.687999999753e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.829299185840e-01,3.979738815152e-01,0.000000000000e+00,-6.027370443917e-03,-6.027370443917e-03,-6.027370443910e-03,3.979751351792e-01,0,0,0,0,-7.333316665882e+02,0
4.691999999753e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.829498032957e-01,3.966444791244e-01,0.000000000000e+00,-6.059928114354e-03,-6.059928114354e-03,-6.059928114347e-03,3.966456203478e-01,0,0,0,0,-8.938406236241e+02,0
4.695999999753e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.829679045549e-01,3.954343102696e-01,0.000000000000e+00,-6.098812064693e-03,-6.098812064693e-03,-6.098812064693e-03,3.954353491372e-01,0,0,0,0,-1.049551078390e+03,0
4.699999999752e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.829843823186e-01,3.943326809455e-01,0.000000000000e+00,-6.143820130852e-03,-6.143820130852e-03,-6.143820130852e-03,3.943336266375e-01,0,0,1,0,-1.199975475976e+03,0
4.703999999752e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.831215762949e-01,4.875758239653e-01,0.000000000000e+00,-6.181073291366e-03,-6.181073291366e-03,-6.181073291359e-03,4.875845284865e-01,0,1,1,1,-6.073307919435e+02,0
4.707999999752e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.832596411924e-01,4.783454312005e-01,0.000000000000e+00,-6.194133525156e-03,-6.194133525156e-03,-6.194133525149e-03,4.783533550169e-01,0,1,0,1,-6.803356671792e+01,0
4.711999999751e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.833853231066e-01,4.699429084510e-01,0.000000000000e+00,-6.188184258676e-03,-6.188184258676e-03,-6.188184258676e-03,4.699501215836e-01,0,0,0,1,3.464111725630e+02,0
4.715999999751e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.834997326619e-01,4.622940044058e-01,0.000000000000e+00,-6.167841055692e-03,-6.167841055692e-03,-6.167841055685e-03,4.623005705956e-01,0,0,0,1,6.545164617094e+02,0
4.719999999751e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.836038808715e-01,4.553311273226e-01,0.000000000000e+00,-6.137027134137e-03,-6.137027134137e-03,-6.137027134137e-03,4.553371045937e-01,0,0,1,1,8.724352758207e+02,0
4.723999999751e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.836986880712e-01,4.489927477339e-01,0.000000000000e+00,-6.099062085113e-03,-6.099062085113e-03,-6.099062085106e-03,4.489981889061e-01,0,0,1,1,1.014239117184e+03,0
4.727999999750e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.837849920520e-01,4.432228547240e-01,0.000000000000e+00,-6.056740090521e-03,-6.056740090521e-03,-6.056740090514e-03,4.432278078797e-01,0,0,0,1,1.092165216796e+03,0
4.731999999750e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.838635554643e-01,4.379704609724e-01,0.000000000000e+00,-6.012398823906e-03,-6.012398823906e-03,-6.012398823898e-03,4.379749698817e-01,0,0,0,1,1.116835776639e+03,0
4.735999999750e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.839350725561e-01,4.331891521900e-01,0.000000000000e+00,-5.967980087355e-03,-5.967980087355e-03,-5.967980087355e-03,4.331932566971e-01,0,0,0,1,1.097452313946e+03,0
4.739999999749e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.840001753091e-01,4.288366769654e-01,0.000000000000e+00,-5.925083124779e-03,-5.925083124779e-03,-5.925083124772e-03,4.288404133410e-01,0,0,1,1,1.041967841148e+03,0
4.743999999749e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.840594390226e-01,4.248745733985e-01,0.000000000000e+00,-5.885011453195e-03,-5.885011453195e-03,-5.885011453188e-03,4.248779746602e-01,0,0,1,1,9.572393221718e+02,0
4.747999999749e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.841133873976e-01,4.212678292207e-01,0.000000000000e+00,-5.848813951275e-03,-5.848813951275e-03,-5.848813951275e-03,4.212709254246e-01,0,0,0,1,8.491625835118e+02,0
4.751999999748e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.841624971644e-01,4.179845723990e-01,0.000000000000e+00,-5.817320870577e-03,-5.817320870577e-03,-5.817320870570e-03,4.179873909057e-01,0,0,0,0,7.227916240025e+02,0
4.755999999748e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.842072022959e-01,4.149957894894e-01,0.000000000000e+00,-5.791175357196e-03,-5.791175357196e-03,-5.791175357196e-03,4.149983552054e-01,0,0,0,0,5.824440574099e+02,0
4.759999999748e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.842478978419e-01,4.122750692515e-01,0.000000000000e+00,-5.770861005473e-03,-5.770861005473e-03,-5.770861005466e-03,4.122774048496e-01,0,0,1,0,4.317942344293e+02,0
4.763999999747e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.842849434205e-01,4.097983692580e-01,0.000000000000e+00,-5.756725912349e-03,-5.756725912349e-03,-5.756725912349e-03,4.098004953772e-01,0,0,1,0,2.739554229923e+02,0
4.767999999747e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.843186663956e-01,4.075438034363e-01,0.000000000000e+00,-5.749003639551e-03,-5.749003639551e-03,-5.749003639544e-03,4.075457388648e-01,0,0,0,0,1.115522759125e+02,0
4.771999999749e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.843493647702e-01,4.054914486659e-01,0.000000000000e+00,-5.747831456652e-03,-5.747831456652e-03,-5.747831456652e-03,4.054932105067e-01,0,0,0,0,-5.321531908983e+01,0
4.775999999751e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.843773098194e-01,4.036231687241e-01,0.000000000000e+00,-5.753266181408e-03,-5.753266181408e-03,-5.753266181401e-03,4.036247725462e-01,0,0,0,0,-2.185160311298e+02,0
4.779999999752e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.844027484878e-01,4.019224540177e-01,0.000000000000e+00,-5.765297914031e-03,-5.765297914031e-03,-5.765297914031e-03,4.019239139936e-01,0,0,1,0,-3.828376518058e+02,0
4.783999999754e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.844259055716e-01,4.003742756917e-01,0.000000000000e+00,-5.783861914416e-03,-5.783861914416e-03,-5.783861914416e-03,4.003756047230e-01,0,0,1,0,-5.449436608694e+02,0
4.787999999756e-07,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.844469857051e-01,3.989649528227e-01,0.000000000000e+00,-5.808848850535e-03,-5.808848850535e-03,-5.808848850528e-03,3.989661626537e-01,0,0,0,0,-7.038351042335e+02,0
