phase_detector: pfd
fo(VCO_freq_in_Hz): 1.200000e+10
VCO_clock_dutycycle: 0.4000
tauff(sec): 1.0000e-11
tauh(sec): 1.0000e-11
taucp_min(sec): 1.0000e-12
pfd_deadzone(UI): 0.0000
fin(input_freq_in_Hz): 1.000000e+08
feedback_divider: 120
feedback_divider_delay(sec): 0.0000e+00
feedback_divider_clock_duty_cycle: 0.1000
jitter_amp(UIpp): 0.00 UI
Jitter_freqs(Hz): 0.0000e+00
phase0(degrees): 0.00
TSTART(sec): 0.000000e+00
TSTART_jt(sec): 2.000000e-06
TSTOP(sec): 2.000000e-06
deltat(sec): 1.000000e-13
lock_detect_tau(sec): 1.000000e-07
lock_detect_delta_vc_limit(%): 1.000000e-01
lock_detect_rphase_pp_limit(UIpp): 1.500000e-01
lock_detect_rphase_pp_loss_lock_limit(UIpp): 3.000000e-01
number_of_print_points: 5001
phase_freq_step_time(sec): 1.000000e+00
phase_step(sec): 0.0000e+00
freq_step(ppm): 0.0000e+00
ssc_start_time(sec): 1.000000e+00
max_pos_ssc(ppm): 0.00
max_neg_ssc(ppm): 0.00
freq_ssc(Hz): 0.0000e+00
phase_detector_logic_hi(V): 600.000
phase_detector_logic_low(V): -600.000
signal_source_vs1(V): 0.000
signal_source_vs2(V): 0.000
vc_model: poly
vc_polynomial_coeff.(Hz/V): -3.698400e-02,8.702100e-02
vco_bandwidth(Hz): 4.0000e+07
power_supply_max(V): 0.8500
power_supply_min(V): 0.0000
random_noise_sigma(UI_on_fin): 0.0000
RS1(ohms): 1.0000e+12
RS2(ohms): 1.0000e+12
R1(ohms): 1.0000e+06
RZERO(ohms): 1.2000e+04
R3(ohms): 1.0000e+00
C1(farads): 2.4070e-11
C2(farads): 3.6000e-13
initvc(V): 0.2000
Output_base_filename "sample_octave_output_file_v1p76"
Time(s),vpd(V),vs1(V),vs2(V),vc1(V),vc(V),phasein(UI),phaseo(UI),phaseo_delayed(UI),rphase(UI),vc2(V),VIN,CLK,VCO_CLK,CLKIN,freq (ppm from fin),VOUT
5.199999999995e-09,-6.000000000000e+02,0.000000000000e+00,0.000000000000e+00,1.964609702361e-01,0.000000000000e+00,0.000000000000e+00,-1.410447141521e-02,-1.410447141521e-02,-1.410447141521e-02,0.000000000000e+00,0,0,0,0,-3.220106424237e+04,0
5.599999999994e-09,-6.000000000000e+02,0.000000000000e+00,0.000000000000e+00,1.961881698233e-01,0.000000000000e+00,0.000000000000e+00,-1.540181404214e-02,-1.540181404214e-02,-1.540181404214e-02,0.000000000000e+00,0,0,1,0,-3.265851804743e+04,0
5.999999999992e-09,-6.000000000000e+02,0.000000000000e+00,0.000000000000e+00,1.959157469008e-01,0.000000000000e+00,0.000000000000e+00,-1.671656533692e-02,-1.671656533692e-02,-1.671656533692e-02,0.000000000000e+00,0,0,0,0,-3.307221964790e+04,0
6.399999999991e-09,-6.000000000000e+02,0.000000000000e+00,0.000000000000e+00,1.956437009463e-01,0.000000000000e+00,0.000000000000e+00,-1.804706028420e-02,-1.804706028420e-02,-1.804706028420e-02,0.000000000000e+00,0,0,0,0,-3.344635363115e+04,0
6.799999999989e-09,-6.000000000000e+02,0.000000000000e+00,0.000000000000e+00,1.953720314381e-01,0.000000000000e+00,0.000000000000e+00,-1.939179311556e-02,-1.939179311556e-02,-1.939179311556e-02,0.000000000000e+00,0,0,1,0,-3.378470435848e+04,0
7.199999999988e-09,-6.000000000000e+02,0.000000000000e+00,0.000000000000e+00,1.951007378554e-01,0.000000000000e+00,0.000000000000e+00,-2.074940207857e-02,-2.074940207857e-02,-2.074940207857e-02,0.000000000000e+00,0,0,0,0,-3.409069424395e+04,0
7.599999999987e-09,-6.000000000000e+02,0.000000000000e+00,0.000000000000e+00,1.948298196778e-01,0.000000000000e+00,0.000000000000e+00,-2.211865566278e-02,-2.211865566278e-02,-2.211865566278e-02,0.000000000000e+00,0,0,0,0,-3.436741837205e+04,0
7.999999999989e-09,-6.000000000000e+02,0.000000000000e+00,0.000000000000e+00,1.945592763860e-01,0.000000000000e+00,0.000000000000e+00,-2.349844014298e-02,-2.349844014298e-02,-2.349844014298e-02,0.000000000000e+00,0,0,1,0,-3.461767580444e+04,0
8.399999999991e-09,-6.000000000000e+02,0.000000000000e+00,0.000000000000e+00,1.942891074612e-01,0.000000000000e+00,0.000000000000e+00,-2.488774831379e-02,-2.488774831379e-02,-2.488774831379e-02,0.000000000000e+00,0,0,0,0,-3.484399789240e+04,0
8.799999999993e-09,-6.000000000000e+02,0.000000000000e+00,0.000000000000e+00,1.940193123854e-01,0.000000000000e+00,0.000000000000e+00,-2.628566930192e-02,-2.628566930192e-02,-2.628566930192e-02,0.000000000000e+00,0,0,0,0,-3.504867388149e+04,0
